title,start_year,end_year,genre,summary,rating,votes,run_time,actors
Blown Away,2019,Ongoing,Reality-TV,A reality show featuring glass blowers from around the world competing to be the best. One artist is dismissed after each episode/challenge.,7.1,2438,23,"Nick Uhas, Deborah Czeresko, Alexander Rosenberg, Janusz Pozniak"
Borderline,2016,2017,Comedy,"Retro-scripted, spoof documentary series following the work of UK Border Force staff at the fictional Northend Airport. Narrated by Ralf Little.",7.2,1432,30,"David Avery, Jackie Clune, David Elms, Liz Kingsman"
Transformers: Cyberverse,2018,2020,"Animation, Action, Sci-Fi","The series focuses on the adventures of Bumblebee; having damaged his memory chips, he and Windblade must recover his missing memories in order to help him remember his mission on Earth. ...",6.8,295,11,"Jeremy Levy, Jake Foushee, Sophia Isabella, Ryan Andes"
Sneakerheads,2020,Ongoing,Comedy,"Devin, a former sneakerhead turned stay-at-home dad, finds himself deep in the hole after falling for one of old friend Bobby's crazy schemes. To get his money back, the at-odds duo goes on the hunt for the most elusive kicks in the game.",6.2,1169,,"Allen Maldonado, Andrew Bachelor, Jearnest Corchado, Matthew Josten"
The World's Most Extraordinary Homes,2017,2018,Documentary,A celebration of extraordinary residential architecture from around the world with insight from an accomplished architect and his enthusiastic co-host.,7.6,3123,59,"Caroline Quentin, Piers Taylor, Eduardo Arroyo, David Hertz"
The Goop Lab,2020,Ongoing,"Documentary, Reality-TV","Leading with curiosity, Gwyneth Paltrow and her goop team look at psychedelics, energy work and other challenging wellness topics.",2.5,3004,30,"Gwyneth Paltrow, Elise Loehnen, Ana Hito, Kate Woflson"
Kakegurui,2018,2019,"Drama, Mystery, Thriller",A gambling prodigy comes to an elite school run by games and turns the order upside down.,6.4,814,24,"Minami Hamabe, Aoi Morikawa, Mahiro Takasugi, Ruka Matsuda"
Thomas & Friends: All Engines Go!,2021,Ongoing,"Animation, Adventure, Comedy",,,,30,"Johnathan Michael, Shomoy James Mitchell"
Zig & Sharko,2010,Ongoing,"Animation, Action, Comedy","Zig, a famished hyena comes up with the craziest plans to make a meal out of Marina, the carefree mermaid. But that's forgetting all about Sharko, the muscly shark who will do anything to protect her.",6.9,469,7,
Criminal: France,2019,Ongoing,"Crime, Drama, Mystery","Secrets emerge and entire cases unravel inside a police interview room in Paris, where suspects and investigators face off in an intricate dance.",7.2,3576,39,"Margot Bancilhon, Laurent Lucas, Stéphane Jobert, Anne Azoulay"
Asobi Asobase,2018,Ongoing,"Animation, Comedy","Three girls form a school club. They play games, but the outcomes often alarm them.",7.9,875,24,"Hina Kino, Rika Nagae, Konomi Kohara, Maki Izawa"
History 101,2020,Ongoing,"Documentary, History",It is a new type of history show for a new type of audience: Big History delivered in an unadulterated hit of premium archive and jaw-dropping infographics.,6.8,3560,22,"Frankie Corzo, Natalie Silverman"
From,2022,Ongoing,"Horror, Sci-Fi","FROM unravels the mystery of a nightmarish town in middle America that traps all those who enter. As the unwilling residents fight to keep a sense of normalcy and search for a way out, they...",,,,"Simon Webster, Eion Bailey, Hannah Cheramy, Pegah Ghafoori"
Indian Matchmaking,2020,Ongoing,"Reality-TV, Romance","Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era.",6.2,2785,,"Sima Taparia, Vyasar M. Ganesan, Akshay Jakhete, Pradhyuman Maloo"
Team Kaylie,2019,Ongoing,Comedy,A wealthy teenager tries to prove herself after she's forced outside of her comfort zone.,4.5,270,,"Alison Fernandez, Bryana Salaz, Symera Jackson, Elie Samouhi"
Pramface,2012,2014,Comedy,"A girl from a middle-class family gets drunk one night and sleeps with a working-class boy, who also happens to be younger than she, and gets pregnant. But are there really feelings there?",7.5,2408,,"Sean Verey, Scarlett Alice Johnson, Yasmin Paige, Dylan Edwards"
The Fix,2018,Ongoing,"Comedy, Talk-Show",Host Jimmy Carr attempts to solve the world's biggest problems through comedy.,7.1,1653,30,"Jimmy Carr, D.L. Hughley, Katherine Ryan, Mona Chalabi"
Kuromukuro,2016,Ongoing,"Animation, Action, Sci-Fi","When mecha attack a research center, it's students, pilots, and researchers must fight back with the help of mysterious artifacts and a young samurai.",7.2,1165,24,"Johnny Yong Bosch, Bob Buchholz, Kira Buckland, Reba Buhr"
Chocolate,2019,2020,"Drama, Romance","Lee Kang is a neurosurgeon, who once dreamed of becoming a chef. As a child, Moon Cha Young once met Lee Kang at a small restaurant in the seaside town. There, Lee Kang cooked and gave her ...",7.7,910,70,"Ha Ji-Won, Yoon Kyesang, Seung-jo Jang, Jin-Woong Min"
Ore no imouto ga konna ni kawaii wake ga nai,2010,2013,"Animation, Comedy, Drama","Kyosuke Kosaka, a normal 17-year-old high school student living in Chiba, has not gotten along with his younger sister Kirino in years. For longer than he can remember, Kirino has ignored ...",6.4,1310,25,"Yûichi Nakamura, Ayana Taketatsu, Kana Hanazawa, Satomi Sato"
Battlefish,2018,Ongoing,Reality-TV,"Over the course of the fishing season, a group of fishing boats pursues the lucrative albacore tuna in the competitive waters off the Oregon coast.",7.1,385,42,"Justin Bradbury, William Harper, Bill Rehmke, Karl Travenshek"
The Booth at the End,2011,2012,"Drama, Mystery","Everyone wants something. There is a mysterious figure who sits in the booth at the end, who you make a deal with to get what you want. You do the task or you don't - that is up to you, but...",8.3,4522,30,"Xander Berkeley, Jennifer Del Rosario, Jenni Blong, Michelle Dunker"
Tiny House Nation,2014,Ongoing,Reality-TV,Tiny House Nation takes renovation experts John Weisbarth and Zack Giffin across America to help design and construct tiny dream homes in spaces under 500 square feet. Tiny House Nation ...,7.1,963,43,"John Weisbarth, Zack Giffin, Conrad Foxx, David Foxx"
Chicago Party Aunt,2021,Ongoing,"Animation, Comedy","Follows Diane Dunbrowski who is always the life of the party, and also known as the ""Chicago Party Aunt"".",,,30,"Katie Rich, Michael Patrick Thornton, Lauren Ash, Ike Barinholtz"
Eromanga Sensei,2017,Ongoing,"Animation, Comedy, Drama",A young writer who works with an anonymous artist discovers that the artist is his little sister.,5.4,1141,24,"Yoshitsugu Matsuoka, Akane Fujita, Yui Ishikawa, Ibuki Kido"
Melloga Chejil,2019,Ongoing,"Comedy, Romance","A romantic comedy that depicts the daily lives of 30-year-old best friends Lim Jin Joo, Lee Eun Jung and Hwang Han Joo.",8.2,427,65,"Woo-hee Chun, Jeon Yeo-bin, Han Ji-Eun, Jae-hong Ahn"
Extreme Engagement,2019,Ongoing,Reality-TV,An engaged couple travels the world for a year to explore marriage customs in diverse cultures. Will the journey bring them closer or tear them apart?,5.7,350,,"PJ Madam, Tim Noonan"
Hotel Transylvania,2017,2020,"Animation, Comedy, Family",A TV adaptation of the 2012 feature film 'Hotel Transylvania.',5.5,579,21,"Bryn McAuley, Evany Rosen, Gage Munroe, Joseph Motiki"
The Silent Sea,2021,Ongoing,"Adventure, Drama, Horror",A precarious future where Earth is running out of water. It follows a group of elite scientists who set off for the moon to retrieve some unknown samples from an abandoned research station.,,,,"Bae Doona, Joon Lee, Gong Yoo, Heo Sung-tae"
100 Humans,2020,Ongoing,Reality-TV,"A social experiment where 100 individuals will be a part of interactive experiments exploring sex, happiness, torture and all the other aspects of being human.",5.7,3456,,"Komalpreet Kaur Batth, Haley Bockrath, Dylan George, Braxton Hale"
Dragons: Rescue Riders,2019,Ongoing,"Animation, Adventure, Comedy",Twins Dak and Leyla share a unique ability to communicate with dragons. The brother and sister lead a team of five young dragons that spend their days rescuing other dragons and helping the people in their adopted town of Huttsgalor.,6.1,236,24,"Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu"
Tsuredure Children,2017,Ongoing,"Animation, Comedy, Romance","A series of stories, some loosely connected to each other, about young male and female highschool students struggling to confess their feelings to each other.",7.3,1288,13,"Anthony Bowling, Kyle Igneczi, Kristi Kang, Alison Viktorin"
Black Ink Crew,2012,Ongoing,Reality-TV,Black Ink Crew: Black Ink documents the tattoo artists at a Harlem tattoo shop and all of the celebrities they cater to.,4.6,383,42,"Ashley Nicole Bermudez, Ceaser Emanuel, Dutchess Lattimore, Kevin Laroy"
Beyblade Burst,2016,Ongoing,"Animation, Action, Comedy","Elementary-school student Valt Aoi is crazy about Beyblade and is best friends with Shu Kurenai, who is a prodigy at the game and has been named to the national Beyblade tournament's final ...",6.7,364,24,"Matt Hill, Sabrina Pitre, Adrian Petriw, Zach LeBlanc"
Zhen Huan Zhuan,2011,2012,"Drama, History, Romance","A young woman born in Eight Banners' family marries the Emperor of the Qing Dynasty. After surviving through many murderous scandals and betrayals, she prevails as the most powerful woman in the Emperor's harem, the Empress dowager.",8.4,1382,90,"Li Sun, Jianbin Chen, Qian Sun, Ada Choi"
Angry Birds Toons,2013,2018,"Animation, Comedy, Family","Red, Chuck, Bomb, Matilda, Terence, and The Blues need to keep the eggs safe from the pigs that will snatch them at any cost.",6.2,684,3,"Antti Pääkkönen, Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione"
Eizouken ni wa Te wo Dasu na!,2020,Ongoing,"Animation, Comedy, Drama",A group of strangers come together to work on creating the greatest anime series ever.,8.2,1144,24,"Sairi Itô, Mutsumi Tamura, Misato Matsuoka, Yumiri Hanamori"
Strange Empire,2014,2015,"Drama, Western","In 1869 Janestown on the Alberta-Montana border, three women band together for survival after the men in their town are murdered.",6.4,1697,60,"Cara Gee, Tattiawna Jones, Melissa Farman, Aaron Poole"
Benvinguts a la família,2018,2019,Comedy,"When an evicted single mom's estranged father dies, she and his second wife cover up his death after learning they've been written out of his will.",6.7,385,,"Melani Olivares, Ivan Massagué, Yolanda Ramos, Nao Albet"
Green Beret's Guide to Surviving the Apocalypse,2022,Ongoing,Comedy,"Vance, who plays a comic version of himself as he tries to survive through various apocalyptic scenarios, including a nuclear attack, supervolcano eruption or - of course - a zombie attack.",,,,"Shawn Vance, Daril Fannin, Louise Bond, Yasmine Aker"
Gaetmaeul Chachacha,2021,Ongoing,"Comedy, Romance",A love story set in the seaside village of Gongjin.,,,,"Shin Min-a, Kim Seon-Ho, Sang-yi Lee, Jo Han-chul"
Still 2gether,2020,Ongoing,"Drama, Romance","On Tine and Sarawat's second year as a couple, they face several circumstances that would test their relationship, including those that involve their responsibilities as the leaders of the ...",7.9,537,,"Metawin Opas-Iamkajorn, Vachirawit Chivaaree, Chinnarat Siriphongchawalit, Jirakit Kuariyakul"
Hataraku Saibo Black,2021,Ongoing,"Animation, Action, Comedy","Humans are complex biological robots that are made up of trillion of cells, each with their own structure and function. Even a single cell cannot slack off. Scientists have come a long way ...",7.5,291,24,"Jon Allen, Lizzie Freeman, Matthew David Rudd, Tiana Camacho"
Drag Race: Untucked!,2009,Ongoing,Reality-TV,"RuPaul's Drag Race: Untucked! is the access-all-areas pass to the drama that you didn't see on the runway--the backstage bitchiness, the catfights, the struggles, the tears and the secrets....",7.8,3154,21,"RuPaul, Michelle Visage, Santino Rice, Sutan Amrull"
Good Morning-Call: Guddo môningu kôru,2016,2017,"Comedy, Romance","Nao rents her dream apartment, but things are not what they seem when she finds out she will be sharing it with high school heart throb Uehara.",7.5,2877,48,"Haruka Fukuhara, Shun'ya Shiraishi, Moe Arai, Shûgo Nagashima"
The Surgeon's Cut,2020,Ongoing,Documentary,"The Surgeon's Cut profiles four ground-breaking surgeons from around the world, each with a visionary approach to their craft.",8.5,850,,Lin Gallagher
Hot Date,2017,Ongoing,Comedy,"Brian Murphy and Emily Axford attempt a lovely night out for a romantic meal, but sadly blow their chances by bringing themselves.",7.2,574,20,"Emily Axford, Brian Murphy, Carisa Barreca, Travis Turner"
The Ghost Bride,2020,Ongoing,Drama,A woman living in 1890s Colonial-era Malacca receives a proposal to become the ghost bride of a a wealthy family's recently-deceased son.,6.0,607,,"Peijia Huang, Kang Ren Wu, Ludi Lin, Kuang Tian"
Dive Club,2021,Ongoing,"Drama, Family, Mystery","Dive Club follows the story of a feisty group of teen divers who search for their friend when she disappears after a cyclone hits Cape Mercy, their small coastal town.",7.6,14,,"Miah Madden, Georgia-May Davis, Sana'a Shaik, Aubri Ibrag"
Saikometeuri Geunyeoseok,2019,Ongoing,"Fantasy, Mystery, Romance","A boy who is able to read the secrets of those whose skin comes into contact with him, and a girl who does everything she can to hide her pain. In the drama, the boy and girl will meet and ...",7.8,1197,65,"Jin-young Park, Ye-Eun Shin, Kwon Kim, Da-som Kim"
Colin in Black & White,2021,Ongoing,"Biography, Drama, Sport",This drama series from Colin Kaepernick and Ava DuVernay explores Kaepernick's high school years and the experiences that led him to become an activist.,,,,"Colin Kaepernick, Jaden Michael, Gabriel Womack, Mace Coronel"
Kore wa Zombie desu ka?,2011,2012,"Animation, Action, Comedy",Ayumu has no pulse and very little luck. He was murdered by a serial killer and has been brought back to life. Sort of. He has come back as a zombie in servitude to the cute necromancer who...,7.1,1562,25,"Cherami Leigh, Jad Saxton, Austin Tindle, Morgan Laure"
Puffin Rock,2015,2016,"Animation, Family","Puffin Rock follows the adventures of Oona, her little brother Baba, and their family and friends on a gorgeous and wild Irish island.",8.7,783,7,"Kate McCafferty, Chris O'Dowd, Sally McDaid, Geraldine Cole"
Social Distance,2020,Ongoing,"Comedy, Drama","Shot in isolation, this tragicomic anthology series features both dark and funny takes on how people strive to stay connected while staying apart.",5.7,586,,"Brian Jordan Alvarez, Becky Ann Baker, Asante Blackk, Danielle Brooks"
Haunted: Latin America,2021,Ongoing,"Horror, Reality-TV","Real people's terrifying tales of the chilling, unexplained and paranormal come to life with dramatic reenactments in this reality series.",5.4,479,,"Laura Tovar, Pablo Guisa Koestinger, Alejandro Restrepo, Pablo Cesar Sanchez"
